cell_id,anchor,target,la,lt,anchor_word,target_word,common_ancestor_level,stratum,n,probe,min_gen0,min_tgtbal_10,min_tgtbal_20,min_tgtbal_50,dex_eroded_10,dex_eroded_20,dex_eroded_50,dex_eroded_min_50,crossed_50_frac,crossed_50_any,crossed_floor_1em2_frac,crossed_floor_1em2_any,gen_first_cross_mean,n_cross_rows,stuck_frac,stuck_any,pop0_p_class_a_median,runtime_seconds
"boa constrictor->green iguana(0,0)",boa constrictor,green iguana,0,0,constrictor,iguana,2.0,within_bucket,1,2.4433271884918213,1.3730049133300781,1.1965551376342773,1.0931239128112793,0.9245672225952148,0.31004891185881644,0.3493122328081617,0.4220431347621525,0.1717335984399341,0.0,False,0.0,False,,0.0,1.0,True,0.920042484998703,2590.7634930610657
"boa constrictor->green iguana(0,1)",boa constrictor,green iguana,0,1,constrictor,lizard,2.0,within_bucket,1,1.3232636451721191,0.8032193183898926,0.016376495361328125,0.011331558227539062,0.0003638267517089844,1.9074254144974416,2.0673567462641746,3.560751752013944,3.343939516219494,1.0,True,1.0,True,5.0,20.0,0.0,False,0.7897241115570068,1942.2961783409119
"boa constrictor->green iguana(1,1)",boa constrictor,green iguana,1,1,snake,lizard,2.0,within_bucket,1,1.5873425006866455,0.3328757882118225,0.009365499019622803,0.004281938076019287,0.0020277798175811768,2.229139721794513,2.5690302621504792,2.8936498483073056,2.215261411584924,1.0,True,1.0,True,4.0,133.0,0.0,False,0.8302300572395325,2101.3856041431427
"boa constrictor->junco(0,0)",boa constrictor,junco,0,0,constrictor,sparrow,,wall_repl,1,1.3629308938980103,0.054511070251464844,0.005875587463378906,0.0010423660278320312,0.0004258155822753906,2.365422540394533,3.1164535872382393,3.505252285963377,2.107263158953834,1.0,True,1.0,True,0.0,1120.0,0.0,False,0.2039051651954651,2302.436949968338
"boa constrictor->junco(0,1)",boa constrictor,junco,0,1,constrictor,songbird,,wall_repl,2,1.3403207063674927,0.8009967803955078,0.05433225631713867,0.0010704994201660156,0.0002751350402832031,1.9903206024041071,3.1503976150043522,3.9656115525168643,3.713237010710975,1.0,True,1.0,True,0.0,1410.0,0.0,False,0.21363668516278267,2431.1716434955597
"boa constrictor->junco(0,2)",boa constrictor,junco,0,2,constrictor,bird,,wall_repl,1,3.250200033187866,1.9418601989746094,0.8523321151733398,0.2058548927307129,0.0019178390502929688,0.5813012377955274,1.198348896697884,3.229097933088319,3.005405803064667,1.0,True,1.0,True,0.0,1498.0,0.0,False,0.03732164949178696,2304.6619358062744
"boa constrictor->marimba(0,0)",boa constrictor,marimba,0,0,constrictor,marimba,,cross_breadth,1,1.1229987144470215,0.2659621238708496,8.678436279296875e-05,8.678436279296875e-05,8.678436279296875e-05,4.111937780061587,4.111937780061587,4.111937780061587,3.486378313359809,1.0,True,1.0,True,2.0,195.0,0.0,False,0.7544748485088348,2465.627520084381
"boa constrictor->marimba(1,1)",boa constrictor,marimba,1,1,snake,percussion instrument,,cross_breadth,1,5.784292459487915,4.902157783508301,4.762597560882568,4.505684852600098,4.151951789855957,0.08440635798307172,0.10848943121024707,0.14399794111082453,0.07213498349384437,0.0,False,0.0,False,,0.0,1.0,True,0.9969339370727539,2132.590812921524
"cello->junco(0,0)",cello,junco,0,0,cello,sparrow,,wall_repl,1,2.1585867404937744,0.06320923566818237,0.0013944506645202637,0.00020018219947814941,0.00020018219947814941,3.189766351408397,4.032744048301884,4.032744048301884,2.4993550821320376,1.0,True,1.0,True,0.0,180.0,0.0,False,0.8964243531227112,1881.8865010738373
"cello->junco(0,1)",cello,junco,0,1,cello,songbird,,wall_repl,1,1.6904359459877014,0.3081280589103699,0.017895102500915527,0.002517223358154297,0.0006570219993591309,1.9752645288058202,2.827076966066248,3.4104188076455246,2.6711513365794968,1.0,True,1.0,True,1.0,97.0,0.0,False,0.8442777395248413,2226.769706964493
"cello->junco(0,2)",cello,junco,0,2,cello,bird,,wall_repl,1,1.147186279296875,0.0021811723709106445,0.0006706118583679199,0.000620424747467041,4.303455352783203e-05,3.233162715308155,3.266944831457643,4.4258166424242145,1.7048726861717056,1.0,True,1.0,True,0.0,395.0,0.0,False,0.7589434087276459,2443.609288930893
"cello->marimba(0,0)",cello,marimba,0,0,cello,marimba,2.0,within_bucket,2,2.3429710268974304,0.9608854651451111,0.5778267085552216,0.46637682616710663,0.3393123745918274,0.6070397971973761,0.7017076188135165,0.8511080759533463,0.46378146041239576,0.0,False,0.0,False,,0.0,1.0,True,0.9113741517066956,1581.6831638813019
"cello->marimba(0,1)",cello,marimba,0,1,cello,percussion instrument,2.0,within_bucket,1,6.46205735206604,5.592914581298828,5.336876392364502,5.284808158874512,5.219325542449951,0.08308366394416544,0.0873415813229983,0.09275642241163508,0.030023800807046627,0.0,False,0.0,False,,0.0,1.0,True,0.9984408020973206,1682.0283560752869
"cello->marimba(1,1)",cello,marimba,1,1,string instrument,percussion instrument,2.0,within_bucket,1,6.230503559112549,5.741221904754639,5.050124168395996,4.926665782928467,4.920312881469727,0.0912210921080874,0.10197004700581627,0.10253042811852907,0.06701161284424242,0.0,False,0.0,False,,0.0,1.0,True,0.9980353713035583,1842.276155948639
"cello->ostrich(0,0)",cello,ostrich,0,0,cello,ratite,,cross_breadth,1,3.358315110206604,1.2879325151443481,0.4465881586074829,0.3769221305847168,0.3193519115447998,0.8762142400351127,0.949869806160548,1.0218519234421262,0.605623587477669,0.0,False,0.0,False,,0.0,1.0,True,0.9663729965686798,1666.6834638118744
"cello->ostrich(2,2)",cello,ostrich,2,2,musical instrument,bird,,cross_breadth,1,1.1538532972335815,0.07546234130859375,0.003943443298339844,0.0012674331665039062,0.0010113716125488281,2.4662749948208234,2.9592255277666566,3.0572398358568083,1.8728195160021783,1.0,True,1.0,True,0.0,979.0,0.0,False,0.2399565950036049,1890.8519833087921
"green iguana->boa constrictor(0,0)",green iguana,boa constrictor,0,0,iguana,constrictor,2.0,within_bucket,1,6.1682024002075195,5.652709484100342,4.640967845916748,4.433454990386963,4.205987453460693,0.12355005649067409,0.14341631224135287,0.16629064314785263,0.12838869301725758,0.0,False,0.0,False,,0.0,1.0,True,0.9979093372821808,2584.259402036667
"green iguana->boa constrictor(0,1)",green iguana,boa constrictor,0,1,iguana,snake,2.0,within_bucket,1,4.891030788421631,2.485480785369873,1.511818766593933,0.9399453997612,0.7740244269371033,0.5099006646111945,0.7162977699433254,0.8006457301405567,0.5066557435477175,0.0,False,0.0,False,,0.0,1.0,True,0.9925254881381989,1856.1158940792084
"green iguana->boa constrictor(1,1)",green iguana,boa constrictor,1,1,lizard,snake,2.0,within_bucket,2,2.947825014591217,1.1945761442184448,0.45501360297203064,0.10243421792984009,0.005907043814659119,0.8570872216603491,1.5019894175081752,2.702485313640326,2.310636667117473,1.0,True,1.0,True,13.0,33.0,0.0,False,0.9497543573379517,2145.3106755018234
"green iguana->cello(0,0)",green iguana,cello,0,0,iguana,cello,,cross_breadth,2,4.390056550502777,2.3154112100601196,0.6931192576885223,0.37339460849761963,0.002428203821182251,0.8305915867436178,1.2810718031917026,3.260054039200069,2.9846410708516524,1.0,True,1.0,True,31.5,6.5,0.0,False,0.9857434928417206,2298.56201839447
"green iguana->cello(1,1)",green iguana,cello,1,1,lizard,string instrument,,cross_breadth,1,2.5095285177230835,0.48236486315727234,0.4781453013420105,0.01685333251953125,0.0028867721557617188,0.7200322428816099,2.172906345688117,2.9391796275949225,2.2229631573492665,1.0,True,1.0,True,22.0,10.0,0.0,False,0.9248045384883881,2313.257504940033
"junco->boa constrictor(0,0)",junco,boa constrictor,0,0,sparrow,constrictor,,wall_repl,1,5.291863441467285,4.821706295013428,3.981961488723755,3.4593591690063477,3.407832622528076,0.12351157306565384,0.1846129734165694,0.19113037250800982,0.1507224966130206,0.0,False,0.0,False,,0.0,1.0,True,0.9949928224086761,9751.94929099083
"junco->boa constrictor(0,1)",junco,boa constrictor,0,1,sparrow,snake,,wall_repl,2,1.7907863706350327,0.20443189144134521,0.0075750648975372314,0.0004037022590637207,0.00015169382095336914,2.3027524484965705,3.5790921408623353,4.4317724070781646,3.3650276050201633,1.0,True,1.0,True,0.0,414.5,0.0,False,0.8131560385227203,10440.24589240551
"junco->boa constrictor(0,2)",junco,boa constrictor,0,2,sparrow,reptile,,wall_repl,1,4.852149486541748,4.1666460037231445,3.3305578231811523,3.1292905807495117,3.008894443511963,0.16341719425806964,0.1904882793948782,0.20752721996955487,0.1413796522589191,0.0,False,0.0,False,,0.0,1.0,True,0.9922485947608948,4937.933365106583
"junco->cello(0,0)",junco,cello,0,0,sparrow,cello,,wall_repl,1,3.630637526512146,2.103026866912842,0.21791741251945496,0.09153950214385986,0.002264469861984253,1.2216909586443148,1.5983743461369437,3.2050163472396243,2.967878275991099,1.0,True,1.0,True,9.0,51.0,0.0,False,0.9741841554641724,12333.032274961472
"junco->cello(1,0)",junco,cello,1,0,songbird,cello,,wall_repl,1,2.2651326656341553,1.5292141437530518,0.2503417730331421,0.05061143636703491,0.004258632659912109,0.9565603193350914,1.6508449802254344,2.7258234626879125,2.5551981257470553,1.0,True,1.0,True,10.0,29.0,0.0,False,0.9059408903121948,7903.110733747482
"junco->cello(2,0)",junco,cello,2,0,bird,cello,,wall_repl,1,3.3130728006362915,2.2200276851654053,1.7532274723052979,1.6480672359466553,1.6220487356185913,0.276392711826321,0.30325605349755663,0.3101670803049327,0.13629449165379898,0.0,False,0.0,False,,0.0,1.0,True,0.9648234844207764,1439.9916653633118
"junco->ostrich(0,0)",junco,ostrich,0,0,sparrow,ratite,2.0,within_bucket,2,5.631592512130737,4.308648586273193,3.151435136795044,2.342177450656891,1.5875166654586792,0.25734232158061937,0.39493296073324347,0.7071005260954153,0.5898541156995865,0.0,False,0.0,False,,0.0,1.0,True,0.9961379021406174,14170.200768470764
"junco->ostrich(0,1)",junco,ostrich,0,1,sparrow,flightless bird,2.0,within_bucket,1,4.65808367729187,3.816601514816284,3.4570579528808594,3.042807102203369,2.847850799560547,0.12950062592550168,0.18493286461691494,0.2136900532473572,0.1271595856938412,0.0,False,0.0,False,,0.0,1.0,True,0.9906044006347656,9293.408434867859
"junco->ostrich(1,1)",junco,ostrich,1,1,songbird,flightless bird,2.0,within_bucket,1,4.630526304244995,4.102700710296631,2.8902716636657715,2.8752994537353516,2.628683567047119,0.20469169053518932,0.20694727376834648,0.2458920454047235,0.19333152638432696,0.0,False,0.0,False,,0.0,1.0,True,0.9903445541858673,9483.079772233963
"marimba->boa constrictor(0,0)",marimba,boa constrictor,0,0,marimba,constrictor,,cross_breadth,1,5.1761956214904785,4.692986011505127,3.4915735721588135,3.2511515617370605,2.041590929031372,0.17098948341161888,0.2019734652062879,0.40404195361820566,0.3614805322658924,0.0,False,0.0,False,,0.0,1.0,True,0.9943817853927612,2941.3740379810333
"marimba->boa constrictor(1,1)",marimba,boa constrictor,1,1,percussion instrument,snake,,cross_breadth,1,2.7254369258880615,0.7617301940917969,0.012609004974365234,0.003699779510498047,0.00021791458129882812,2.334755319652164,2.867260292785874,4.097149844584109,3.5435148797324088,1.0,True,1.0,True,0.0,1449.0,0.0,False,0.06150779314339161,1864.0739567279816
"marimba->cello(0,0)",marimba,cello,0,0,marimba,cello,2.0,within_bucket,1,2.433267831802368,1.1233363151550293,0.8600110411643982,0.8600110411643982,0.43351227045059204,0.4516858877896758,0.4516858877896758,0.7491885201375457,0.4135084043820028,0.0,False,0.0,False,,0.0,1.0,True,0.9192825853824615,1700.37540102005
"marimba->cello(0,1)",marimba,cello,0,1,marimba,string instrument,2.0,within_bucket,1,0.9690838158130646,0.4387398660182953,0.006610751152038574,0.006610751152038574,0.0017416179180145264,2.1661105313374245,2.1661105313374245,2.7454084565548054,2.4012542141473463,1.0,True,1.0,True,2.0,173.0,0.0,False,0.7249368131160736,1931.4081299304962
"marimba->cello(1,1)",marimba,cello,1,1,percussion instrument,string instrument,2.0,within_bucket,1,2.3856765031814575,1.1853296756744385,0.04646921157836914,0.012122631072998047,0.004451751708984375,1.7104462490939099,2.2940146646452457,2.729080619067871,2.425308223352472,1.0,True,1.0,True,0.0,1486.0,0.0,False,0.0843011811375618,2605.442929983139
"ostrich->green iguana(0,0)",ostrich,green iguana,0,0,ratite,iguana,,cross_breadth,1,3.663241982460022,1.842087745666504,1.5231695175170898,1.1057871580123901,0.9168293476104736,0.3811173679713338,0.5201940657841461,0.6015771011990254,0.3030218068902036,0.0,False,0.0,False,,0.0,1.0,True,0.9748864769935608,1770.4924359321594
"ostrich->green iguana(1,1)",ostrich,green iguana,1,1,flightless bird,lizard,,cross_breadth,1,1.666602373123169,0.39270925521850586,0.1612071990966797,0.0017352104187011719,0.0001239776611328125,1.0144475635237609,2.982479849251879,4.128488556867297,3.500727697646721,1.0,True,1.0,True,0.0,1358.0,0.0,False,0.15891428291797638,2056.125850915909
"ostrich->junco(0,0)",ostrich,junco,0,0,ratite,sparrow,2.0,within_bucket,1,3.268404006958008,1.475903868675232,0.7777888774871826,0.522836446762085,0.002776205539703369,0.6234740058870205,0.7959698797644423,3.070884117772699,2.7256064546441925,1.0,True,1.0,True,29.0,11.0,0.0,False,0.9631310999393463,1588.7280068397522
"ostrich->junco(0,1)",ostrich,junco,0,1,ratite,songbird,2.0,within_bucket,1,1.8139366507530212,0.6532139778137207,0.6038900017738342,0.4016436040401459,0.05967298150062561,0.4776642765226145,0.6547812604035798,1.482844378376345,1.0392777319500388,0.0,False,0.0,False,,0.0,0.0,False,0.8598369061946869,1350.4711112976074
"ostrich->junco(1,1)",ostrich,junco,1,1,flightless bird,songbird,2.0,within_bucket,1,1.747537612915039,1.2209246158599854,0.410797119140625,0.15183734893798828,0.09840273857116699,0.628799142710197,1.0610479195836835,1.2494193468869548,1.0936816648018255,1.0,True,0.0,False,0.0,1500.0,0.0,False,0.1483582928776741,1520.654531955719
